Tausug,Part of Speech,English Translation
parhimpunan,n,"An organization, association"
parian,n,A market
paril,n,A cemented area
parinta,n,Government
paru,n,"A plan, proposal, suggestion"
parul,n,A kind of lamp
paruli,n,"Concern, care"
pasa,n,A divorce
pasihat,n,An attitude or character
pasil,n,A small smooth stone
pastan,n,A basin
pasu,n,A clay flowerpot
pasuꞌ atay,n,"Hot temper, short temper"
patag,adj,"Level, horizontal"
patahan,n,"Threshold, doorsill"
patikuwan,n,"A coffeepot, teapot"
patti,n,"A box, trunk"
patung,n,Bamboo
pawas,adj,"Unlucky, ill-starred"
pawyu-pawyu,adv,"Everywhere, anywhere"
pāy,n,Unhusked rice
paya,adj,"Lacking physical strength, weak"
paylu,n,Denial
payukan,n,A sea turtle
payung,n,An umbrella
piꞌtang,n,A white metal
pidju,n,"Angle, corner"
pidpid,adv,Tremblingly
pihak,n,"A tribe, clan"
piil,n,"Actions, deeds"
pikal,n,"Worry, anxiety"
pikil,n,A thought
pilanduk,n,"A mousedeer, chevrotain"
pilang,n,A stove or fireplace
pilihan,adj,"Fastidious, selective, choosy"
pilik-pilik,n,A whistle
pilisu,n,A prisoner
piluk mata,n,Eyelash
pinta,n,Paint
pintul,n,Achilles tendon
pingag,adj,"Chipped, frayed, chewed"
pingkit,adj,Having six
pīpul,n,The center post
pirma,n,Signature
pīs,n,A square cloth
pisak,n,Mud
pisang,n,A pineapple plant
pisita,n,"A coin, change"
pistak,n,Crotch
pīt,n,Adhesiveness
pitig,n,Horsefish
pitik,n,pitikan A slingshot
pitna,n,Slander
pitsa,n,Date
pituwa,n,"Teachings, instructions"
piud,adj,Limp
piyansa,n,Bail
pū,adj,mapū
puad,adj,"Clumsy, awkward"
puddang,n,"A large, double-bladed sword"
pudjut,n,A small amount
puga,n,A large earthenware jar
pugung,adj,Having the end closed
pūhan,n,"A handle, hilt"
puhun,n,"A complaint, report"
pukal,n,Richness
pukat,n,"Acerbity, tartness in taste"
pula ulum,adj,Maroon color
pulak-palik,adj,"Scattered, topsy-turvy"
pulakan,n,A small gong
pulukay,n,"A hair switch, hairpiece"
punda,n,A pillowcase
punsak,n,The topmost point
pungat,adj,"Panting, gasping"
pungud,n,A bunch or cluster
pungut,n,"A mustache, beard"
punyal,n,A dagger
purda,n,Side curtains
purul,adj,Native born
pūs,n,"Use, utility, worth"
pusal,n,"A cowlick, the crown"
pussuk,n,"The point, tip"
pusud,n,"Navel, umbilical cord"
puta,n,A prostitute
pūtan,n,Sticky rice
puting,n,"Falsehood, lie"
putti,n,Rich coconut milk
putus,n,"A wrapper, wrapping, covering"
putus lima,n,A mitten
pūyan,n,Skipjack
puyus,adj,Uncircumcised
raayat,n,"People, subjects, citizens"
rahmat,n,Blessing
rasul,n,An apostle
rīpa,n,A raffle
rukun,n,"Precept, pillar of faith"
saang,n,A span
saat,n,A time
sabab,n,"Cause, reason"
sābad,v,"act mag-, -um-"
sabārang,adj,"All, every"
sabaw,n,"Broth, soup"
sabitan,n,A cloth money belt
sābtan,n,A coincidence
sabuli-buli,adv,Forever
sabun,n,Soap
saddiya,adj,Prepared or equipped
sadjaratun mantaha,n,The tree of life
sagbut,n,"Weeds, trash"
sagda,n,A spell
sagitsit,adj,A crackling sound
sagut,adj,"Tangled, intertwisted, intertwined"
sahawat,n,"Lust, desire for sex"
sahawi,n,"A remark, comment, criticism"
sainagun,n,"Intense desire, want, wish"
sais,n,A groom
sāk,adj,What great
sakabilang,adj,Every
sakal-sakal,n,A buttonhole stitch
sakam,n,An abbreviation
sakang,adj,Knock-kneed
sakārang,adv,"Till, until"
sakayan,n,"An outrigger canoe, skiff"
sakkal,adj,"Contrary, against"
sakkiyan,adj,"Abundant, many, plenty"
saksak,n,"A slit, incision"
sakup,v,act maka-
sakutu,adj,"Like, same, equal"
salama-lama,adv,"Forever, everlasting, always"
salat,n,The five-times-daily
salban,n,Thread for sewing
salimbawang,n,A rattan basket
salindang,n,A pattern of cloth
salingkat,n,A small rice basket
sambag,n,"A written answer, reply"
sambahayang,n,The
sambalani,n,A white winged horse
samban,v,"act mag-, -um-, mang-"
sambat,n,Something said
sambil,rel,"Until, including, and also"
sambra,n,"A loose, short-sleeved blouse"
sambu,n,Health
sambulaan,n,A hawk
sambulawan,adj,Striped with yellow
samin,n,"Mirror, glass"
samin-mata,n,Eyeglasses
sammal,adj,"Powerless, ineffective, futile"
sampak,n,A slap
sampal,n,Measles
sampay,adv,"Until, till, unto"
sampinit,n,Wild raspberries
sandal,n,"Endurance, resistance, perseverance"
sandung,v,"act mag-, -um"
sani,n,Sago palm
sanittiya,adj,Religious
sannyawa,n,"Panties, underwear"
sāng,n,A period or interval
sanga,n,A bough
sāngat,v,"act mag-, -um-"
sangbaw,n,A crab trap
sangdan,adj,"More than enough, abundant"
sanggun,n,Penitence
sangkakala,n,The trumpet
sangkap,n,A chisel
sangkil,n,A harpoon lance
sangkul,n,A hoe
sanglit,n,"Praise, commendation, glorification"
sangpat,adv,Exactly
sāpa,n,A badge
sapāat,n,Intercession
sapali,n,"A fellow conspirator, accomplice"
sapanjang,rel,Throughout
sapantun,rel,For example
sāpang,n,A spear
saparti,rel,"Like, resembling"
sapat,n,"Quickness, swiftness, rapidity, haste"
sapiyul,n,A driver
saplag,adj,"Widespread, universal"
saputangan,n,A handkerchief
sarakka,n,An alms gift
sarap,n,A guess
saruk,n,A hat
sarul,n,An alloy
sasak,n,"A fence, rail"
sasang,adv,While
sasat,n,"Seducement, disturbance, nuisance"
sasaw,adj,"Causing interruption, interference, disturbance"
sassing,n,Pinworm
sāt,n,Paint
satal,n,A tie through
satariya,n,"A soldier, veteran warrior"
satti,n,Kabobs
sattuwa,n,"Beast, animal"
saub,n,"Cover, lid"
saumul,adv,"Endlessly, for always, forever"
sāw,n,An anchor
sawa,n,"Brightness, clearness"
sawd-sawd,n,A kind of confection
sawnay,n,An indigenous wind instrument
sawwal,n,Loose-fitting pajama-like trousers
sayinggawa,n,A snare
saykukuwak,n,White-breasted water hen
sayng,n,The banana plant
saypantuhug,n,Indian snowberry
sayrulla,n,A residence certificate
saysig,n,Movement in any direction
sayu,adj,"Conscious, aware"
sayul,n,A vegetable
siꞌdik,v,"act mag-, -um-"
sibay,n,An extension
siddip,n,An ancient money value
siga,n,A cigarette
sigpit,n,Tightness
silak,n,Rays
silaw,n,"Brightness, brilliance"
silbātu,n,A horn
silikan,n,A wheel or tire
simba,n,"Worship, homage"
simbul,n,"Crowdedness, lack of spaciousness"
sin,rel,The grammatical marker of
sīn,n,Money
sinapang,n,"A long firearm, rifle"
sindil,n,A love song
sindul,n,A sweet soup
singal,n,"A wedge, shim"
sīngan,n,Eaves
singkang,adj,Characterized by spread legs
singlab,n,"Shininess, glossiness, sheen"
singsing,n,A ring
sipi,adv,"Stealthily, treacherously"
sipit ulang,n,Pelvic bone
sipug,n,"Shame, dishonor, disgrace"
siput,n,A screw
sirik munapik,n,An unbeliever
sisik,n,Scales
siub,n,"A sheet, blanket, covering"
sīya,n,A chair
siyum,n,A kiss
suꞌgub,n,A container woven
subahat,n,A mistake
subuk,n,The fleshiness or body
subul,n,A young man
sudda,n,"Nature, character, conduct, manners"
sudlay,n,A comb
sūg,n,A flow of water
suga,n,The sun
suga-suga,adj,"Equal, the same"
sugal,n,Playing cards
sugarul,n,"A burglar, sneak thief"
sugit-sugit,n,A mud dauber wasp
sugsug,n,Relation
sugsug tawbat,n,A forgiveness ritual
suhud,n,"Favor, good fortune"
sukal,n,Sugar
sukat kahukaw,adj,Excessive dowry
sukay,n,Fare
sukkal,adj,Contrary to
sukmu,n,A splinter
sukud,n,"Luck, fortune, destiny, fate"
sukul,n,Three big stones
sulab,n,A blade
sulag,n,"A piece, unit"
sulat,n,"A letter, document"
sulbi,n,Tailbone
sulig,n,"Growth, increase in size"
suling,n,"A flute, fife"
suliyab,n,"Flame, blaze"
sullit,n,A loincloth
sumaan,adv,Sometimes
sumariya,n,"Investigation, interrogation, systematic inquiry"
sumbing,adj,"Jagged, dented, notched, nicked"
sumbuhan,n,A wick
sumbung,n,"A report, complaint"
sumping,n,"A flower, blossom"
sumping labanus,n,A kind of hantak
sumsum,n,Bone marrow
sunduk,n,A gravestone
suntuan,n,"A pattern, sample, model"
sūnun,n,Occasionally
sungab,n,A cave
sunggu-sunggu,n,"A nosebleed, nasal hemorrhage"
sungka,n,Rosin
sungkang-mangking,adj,Topsy-turvy
sungut,n,Asthma
suplit,n,Yaws
suppak,n,"Punishment, repayment"
supu,n,"Resemblance, similarity"
suratan,n,Fate
suruy,n,"A vendor, peddler"
susa,adj,"Sad, worried"
sussuk,n,A carat
susun,n,"Regret, repentance"
suuk,n,"Proximity, nearness"
suwaꞌ gadja,n,The pomelo tree
taꞌbang,n,"Insipidity, tastelessness, flatness"
taꞌkisa,n,The day before yesterday
taꞌping,n,Jaw
taabbil,n,A book
taas,n,"Height, altitude, loftiness"
taayun,adj,In agreement or harmony
tabang,n,"Help, aid, assistance"
tadaras,n,A ceremony
tadul,n,A small bee
tāg,n,A bracelet
taga,rel,"Having, with"
taga bangsa,adj,Of noble birth
tagainup,n,A dream
tagama,adj,"Prepared, ready"
tagdapu,n,An owner
taghuy,n,A whistle
tagidꞌid,adj,"In orderly fashion, consecutively"
tagimtim,n,"Freckles, mildew stain"
taguk,n,Gum or sap
tagundan,n,A game trail
tahalil,n,A prayer
tahanahana,adv,"Intentionally, on purpose"
tahay,adj,Dry
tahud,n,A spur
tahun,n,A year
takabbul,adj,"Arrogant, haughty, overbearing"
takak,n,The
takāk,n,The stem
takas,n,The remaining part
takaw kapug,n,The evening star
takdug,n,A strong kick
takul,n,The beating
takus,n,Side arms
takwim,n,"Arabic calendar, almanac"
tali-tali,n,Migraine headache
taling,n,"A tusk, canine tooth"
tallang,adj,Very dark in color
taluk,adj,"Violet, purple"
talumpung,n,"Binoculars, telescope"
talungkup,n,A toy top
tamak,n,"A stain, spot, speck"
tamak-tawktuk,n,"Disgrace, stain of character"
tamban,n,Indian sardine
tambu-tambu,n,A balloon
tambul,adj,Closed
tamparasa,n,Bluntly-spoken words
tampul,n,A dressing
tampung,n,"Incisor teeth, front teeth"
tamuning,n,Placenta
tandug,n,A severe chill
tanduk,n,A horn
tantu,adj,"Sure, certain"
tangbus,adj,"Finished, completed, concluded, graduated"
tangdan,n,"Payment, reward"
tangil,n,Projecting canine teeth
tangkal,n,"Backbone, spinal column"
tangkay,n,"A stem, stalk"
tanglung,n,A Chinese lantern
tangu,n,Wisdom teeth
tapak,n,A saucer
tapaut,adv,"Too late, behind time"
tapling,n,"A light slap, smack"
tapung,n,Rice flour
tarasaw,adj,"Late, delayed, overdue, belated"
tarik,n,A cockpit
tarkadjut,adj,"Sudden, happening unexpectedly, instantaneous"
tarrang,adj,"Legal, lawful, licensed, legitimate"
tarsangngang,adj,"Taken aback, stunned, startled"
tāruk,n,A mast
tarung,n,A topknot
tataklayan,n,Forearm
tatas,n,"Endurance, perseverance"
tatat,adv,"Tremblingly, quaveringly, shakingly"
taub,n,High tide
taud,n,"Number, quantity, multitude, profusion"
taun,n,Something
tawal,n,A charm or incantation
tawas,n,Alum
tawbat,n,"Contrition, earnest repentance"
tawti,n,Catfish
tayakkup,adj,United
taynga,n,Ear
tī,n,Tea
tiꞌlis,n,Tuberculosis
tibluk,adj,Straight down
tibulung,adj,"Round, spherical, globe-like, circular"
tigidlum,adj,"Dark, gloomy"
tigum-tigum,n,A riddle
tiil,adj,Starving or deprived
tikang,n,"A step, pace"
tikduhanan,n,"An excuse, cause"
tikud-tikud,n,Heel
tikūn,n,Gizzard
tikus,n,A mouse
tilag,n,"Transparency, diaphanousness"
tilam,n,A mattress
tilambung,n,The shell
timbak,n,"An explosion, gunshot"
timpla,n,A mixture or blend
timpranu,adv,Early
timud,adj,Well cleaned
timun,n,Watermelon
timun-timun,n,A pulley
tinai,n,The inner organs
tinda,n,A store
tinga tipay,n,The meat of tipay
tinggal,n,Remainder
tingham,n,A notch
tingkal,n,Silky thread
tingkug,v,"act mag-, -um-"
tingug,n,A human voice
tipu,n,"Deceit, fraud, treachery"
tirigu,n,Flour
titik,n,Dot
tiub,n,Pyorrhea alveolaris
tiyap-tiyap,adv,"Each, every, any"
tū,adj,Three
tubad,n,Truth
tubig batu,n,Ice
tubli,n,A poisonous vine
tubtub,n,Last
tūbu,n,A water pipe
tūd-tūd,n,A bolt-action rifle
tūg,n,Sleep
tugas,n,Hardness
tugsuk,n,A fork
tuhud,n,"Knee, kneecap"
tuhuma,n,Suspicion
tūk,n,Something
tūk-tūk,n,"Drizzle, light rain"
tukag,n,A spar guide
tukang,n,"A skilled workman, artisan"
tuki-tuki,adj,"Talkative, fond of gossip"
tuktuk,n,Forehead
tuku,n,A pole
tukud-tukud,n,A riddle
tulak,n,"A journey, trip"
tulid,adj,"Honest, straightforward"
tulkin,n,Final instructions
tulun,n,Something
tulung,n,"Aid, help, assistance"
tuma,n,Body lice
tumaka,rel,"Otherwise, or else"
tuman,adj,"True, exact, definite, accurate"
tumbuk,n,A seal or stamp
tumpak,n,A spot
tumpalak,adj,Face to face
tumpang,n,An extension
tumpung,n,A money bank
tumu,n,Very small broken pieces
tunay,adj,"Actual, real, true, correct"
tunduk-tunduk,adj,Dotted
tundun,n,"A cluster, bunch"
tuntubig,n,Pyodermatitis
tuntun,n,A hanging
tuntut,n,A lawsuit
tūng,n,"Sediment, dregs, lees"
tungaw,n,A small red tick
tungbas,n,Reward
tunggal,adj,"Only, solely"
tunghag,n,A cavity
tungkang,n,A large cooking pot
tūp,adj,"Appropriate, suitable, fit, proper"
