Tausug,Part of Speech,English Translation
minsan,,(to do something) at one sitting
mag-guyud,,to drag
guyud-un,,to drag
mag-t??,,to drip
t??-an,,to drip
lumus-un,,to drown (someone or an animal)
mag-katik,,to drum (with a small stick or fingers)
kaun,,to eat
mag-kaun,,to eat
mag-ab?ab,,to eat or drink voraciously (derogatory
mag-luwa?,,to eject something from the mouth
mag-likus,,to enclose something
gaga,,to exercise authority over
dugu?-un,,to experience menstruation
mag-dupa,,to extend one�s arms to the side
pa-kaun-un,,to feed (as children)
mag-suru?,,to feed (someone) with a spoon
mag-bansag,,to feel proud of something
gutgut,,to fiddle (something
mag-lawag,,to find
pukut-un,,to fish with a seine
tuput,,to fit
mag-tugun,,to fix a date (for something)
labtik,,to flap (as of a spring
ma?-akkal,,to fool
mag-lugus,,to force
kubal-an,,to form or develop calluses
ma-?ahuy,,to gather firewood (esp. in the woods)
sanam-un,,to get ants (in something)
layu?,,to get far away from (something)
mag-paspas,,to get rid of by brushing off
kikik,,to giggle
k-ari-an,,to give or hand something over to someone
mag-a?kas,,to give someone a ride behind one
sa?sa?,,to go against (a current of water or wind)
mag-pu?pu?,,to grasp or clutch things together
mag-pukpuk,,to hammer
mag-sablay,,to hang or drape something (as a garment) to dry
ka-bukug-an,,to have a bone stuck in one�s throat
kayah-un,,to have energy
mag-pa-gunti?,,to have one�s hair cut
mag-gi-nhawa,,to have or behave with dignity
mag-nana?,,to have or develop pus
pasu?-un,,to heat (something)
tapuk,,to hide or conceal (something)
mag-lukluk,,to hide or lay (something) away
pa-nagat,,to hunt for shellfish
ma-sipat,,to imagine
mag-ka-tawa,,to laugh
mag-laun,,to let the marriageable age pass by
mag-tambak,,to level (a low place)
mag-s??,,to light or kindle
du?ug-un,,to listen
du?ug,,to listen
du?ug,,to listen
ma-?il?,,to look at (something) in order to recognize it or see whose it is
mag-sukay,,to look for (and kill) lice in the hair
mag-li?at-li?at,,to look quickly here and there (as of someone astounded or on guard)
mag-ha?ad,,to look up (as into a tree)
ma-lumus,,to lose consciousness due to water in the lungs or lack of air in the lungs (death does not always result)
mag-luba?,,to make a depression
mag-pugad,,to make a hideout (as thieves)
nipis-an,,to make (something) thinner
puti?-un,,to make something white
mag-tupu?,,to measure (a volume
mag-i?sud,,to move something a little
??n-an,,to name something
dila?,,tongue
okab,,to open
tugun,,to order (something to be brought by someone else)
ipun,,tooth
puntuk,,top
bayad-an,,to pay (a debt of money
mag-pa?kat,,to place something heavy over something else
katam-an,,to plane (something)
tanum,,to plant something
tanum-an,,to plant something
mag-tanum,,to plant (something)
tanum,,to plant (something)
suli?,,to play such an instrument
tudlu?,,to point at or point out (something with the finger)
mag-tua?,,to pour a liquid from one container to another
mag-putu,,to prepare this confection
tukun,,to propel a small boat with a pole in shallow water
tukun-an,,to propel a small boat with a pole in shallow water
mag-halhal,,to protrude
mag-ta?kay,,to provide a handle
kapay-an,,to provide a propeller (for a boat or ship)
mag-putput,,to puff
mag-si?al,,to put a wedge in (something)
su?it,,to put food into one�s (or someone�s) mouth
mag-paspas,,to put forth a sudden burst of speed
pasa?-un,,to put things together into sets or groups
mag-kakak,,to quack like a duck
mag-lumba?,,to race
kindat,,to raise an eyebrow
ugbus-an,,to remove the new shoots from a plant
p??-an,,to remove unhusked rice or other particles (from cooking rice)
mag-du?gas,,to repound rice in order to clean it more thoroughly
ba?ka?-un,,to ride in a canoe
duwa,,to ride on the same conveyance with another person
mag-duwa,,to ride on the same conveyance with another person
tastas,,torn on the seam
li?ga?,,to rock or sway (something)
pugus,,to roll or knot the hair
gabuk,,to rot
gabuk-un,,to rot
gidgid,,to rub something vigorously against something else
mag-layag,,to sail (to a place)
kamut,,to scoop (something) with the hand
mag-kagud,,to scrape
katul,,to scratch (esp. with fingers)
mag-katul,,to scratch (esp. with fingers)
lampasu,,to scrub a floor with a coconut husk
ka-mata-han,,to see with the eyes
mag-taun,,to set (a fish trap
dapug,,to set fire to
mag-dapug,,to set fire to
da?pug,,to set fire to (speech of the interior)
pugad-an,,to settle in a nest
mag-dapit,,to side with or favor someone
ma-lunud,,to sink
mag-liad,,to slant (something)
ma-t?g,,to sleep
ka-bahu-an,,to smell a bad smell
mag-kigkig,,to smooth or polish a rough surface (esp. wood)
kutik,,to snap two fingers together
kawin,,to solemnize a marriage
mag-kawin,,to solemnize a marriage
ti?ug,,to sound like (someone�s voice)
lura?,,to spit or eject saliva from the mouth
mag-lura?,,to spit or eject saliva from the mouth
ma?-hi-lura?,,to spit so as to show contempt or scorn
tandak,,to stamp one�s feet
lakar-un,,to step from one place to another
lakar-an,,to step over something
lakad,,to step to (a place with big steps)
mag-lakad,,to step to (a place with big steps)
mag-dukut,,to stick to and get burnt
dukut,,to stick to and get burnt
batu-hun,,to stone something
mag-sikad,,to stretch out the legs
sikar-an,,to stretch out the legs (in reclining or relaxing)
mag-tuhug,,to string (something
sapa,,to swear (an oath)
la?uy-un,,to swim out to something
la?uy,,to swim (to a destination)
mag-la?uy,,to swim (to a destination)
ta?ta?,,to take off
suru?-un,,to take or eat something with a spoon
mag-suki?,,to take someone as a regular customer
mag-suysuy,,to tell
tanud,,to thread (a needle or sewing machine)
gapus-un,,to tie
mag-gapus,,to tie
mag-sunsun,,to tighten the weaving (of nipa or coconut leaf shingles or woven material such as a mat or basket)
mag-sa?lag,,to toast or roast (food in a pan
mag-t?la?,,to toss coins (for heads or tails)
kablit,,to touch (something) with a flicking motion of the finger
liku?,,to turn
mag-liku?,,to turn
ma-muti?,,to turn pale
tabid,,to twist or wring something
puas-an,,to untie something
sabit-an,,to use a hook (especially for fishing)
akkal-un,,to use one�s mind
kahuy-un,,to use something as firewood
mag-?aw?aw,,to utter such a sound
suka,,to vomit
tagad,,to wait for something
mag-pukaw,,to wake up someone
mag-siki,,to walk
pakay,,to wear something (as clothes
mag-timba?,,to weigh something with a scale or balance
timba?,,to weigh something with a scale or balance
lanus,,to wither
kullus,,to wither
luyluy,,to wither
anad,,trained
laak,,trochus
bata?,,trunk of a tree
dulaw,,turmeric
libut,,twist
tabid,,twisted
duwa,,two
bapa?,,Uncle
duwa-ruwa,,undecided
hukas,,undress
hubad,,untie
ugat,,vein
sakit babai,,venereal disease
b?gun,,vine
pagas,,voiceless (as from a cold)
suka,,vomit (ejected matter from the stomach via the mouth)
na-pilay,,was made lame
busay,,waterfall
tubig,,water
ma-tubig,,watery
d?n,,way
u-nuh,,what?
ha?u-nuh,,when?
ma-puti?,,white
puti?,,white
