word,type,replacement,emotion,source
ataca,,to attack,Urgency,pdf
ataque,,attack,Urgency,pdf
atencion,,attention,Neutral,pdf
atención,n,attention,Neutral,pdf
atende,,to attend,Neutral,pdf
atontao,"""idiot","foolish, moron, stupid",Neutral,pdf
atraca,"""to draw or go near",to approach,Neutral,pdf
atractivo,,attractive,Neutral,pdf
atras,,to retreat,Neutral,pdf
atrasa,"""to be late",to be delayed,Neutral,pdf
atrasao,"""late",delayed,Neutral,pdf
atrevi,,to try,Neutral,pdf
atrevido,,constantly trying,Neutral,pdf
atributo,,attribute,Neutral,pdf
atubang,,facing,Neutral,pdf
autografo,,autograph,Neutral,pdf
automovil,"""car",mobile car,Neutral,pdf
autor,,author,Neutral,pdf
autoridad,"""authority",power,Neutral,pdf
avance,,to advance,Neutral,pdf
avante,,to move forward or ahead,Neutral,pdf
avenida,,floody,Neutral,pdf
aventura,,adventure,Neutral,pdf
aventurero,,adventurer,Neutral,pdf
aver,,letâs see,Neutral,pdf
averguenza,"""to cause shame",to put to shame or disgrace,Neutral,pdf
averguenzao,"""shameful",disgraceful,Neutral,pdf
avisa,"""to report","to inform, to tell, to announce",Neutral,pdf
ay,,marker for future aspect,Neutral,pdf
ayer,,yesterday,Neutral,pdf
ayuda,"""to help",to assist,Neutral,pdf
ayuda conmigo!,,help!,Neutral,pdf
ayudajan,,to help each other,Neutral,pdf
ayudante,"""helpmate",helper,Neutral,pdf
ayuno,,fasting,Neutral,pdf
azul,,blue,Neutral,pdf
ba,"""expressing confirmation","anger, and disgust",Neutral,pdf
babah,v.,to piggy back,Neutral,pdf+web
babat,v.,to marinate,Neutral,pdf+web
babubabuy,adj.,epileptic fit,Neutral,pdf+web
babuy,,pig,Neutral,pdf
baca,,cow,Neutral,pdf
bachiller,,bachelor,Neutral,pdf
bachillerato,,bachelor,Neutral,pdf
bacocang,n.,boil/sore,Concern,pdf+web
baculao,n.,baboon,Neutral,pdf
bag,n.,bag (handbag),Neutral,pdf
bagacay,n.,small bamboo specie,Neutral,pdf
bagaje,n.,baggage,Neutral,pdf+web
bagaso,n.,used sugar cane stalks,Neutral,pdf
bagaybay,n.,coconut flower,Neutral,pdf+web
bagon,n.,fermented shrimp paste,Neutral,pdf+web
bagsak,v.,drop heavily,Neutral,pdf+web
baguing,n.,vine rope,Neutral,pdf
bahal,n.,old coconut wine,Neutral,pdf
bahala,adv.,never mind,Neutral,pdf+web
bahao,n.,leftover food,Neutral,pdf+web
bahia,n,bay,Neutral,pdf+web
bahía,n.,bay,Neutral,pdf
baila,v.,to dance,Neutral,pdf+web
bailajan,n.,dance session,Neutral,pdf+web
bailarina,n.,dancer,Neutral,pdf
baile,n.,dance,Neutral,pdf+web
baja,v.,to go down,Neutral,pdf+web
bajao,n.,left-overs,Neutral,pdf+web
bajo,adj.,shallow/short,Neutral,pdf+web
bajura,adj.,shallowness,Neutral,pdf
baka,"""maybe","perhaps, possibly",Neutral,pdf
bakah,adv.,maybe,Neutral,pdf+web
bakia,n.,wooden clog,Neutral,pdf
bakul,adj.,stranded,Neutral,pdf
bala,n.,bullet,Neutral,pdf+web
balabag,adv.,across,Neutral,pdf
balae,n.,couple's parents,Neutral,pdf
balagun,n.,creeping vine,Neutral,pdf
balance,n.,balance,Neutral,pdf+web
balancea,v.,to balance,Neutral,pdf+web
balanceado,adj.,balanced,Satisfaction,pdf
balanghagan,adj.,mindless chatering,Neutral,pdf
balconaje,n.,balcony,Neutral,pdf
baldado,adj.,fractured/sprained,Distress,pdf
balde,n.,bucket,Neutral,pdf+web
baldosa,n.,tile,Neutral,pdf+web
bale,"""good",great,Neutral,pdf
balibad,n.,alibi/excuse,Neutral,pdf+web
balikutot,,well positioned,Neutral,pdf
balimbing,"""a person who favors both side","a turncoat person, traitor",Neutral,pdf
balisbis,n.,hillside slope,Neutral,pdf
baliscat,"""reverse","revert, opposite, upside down",Neutral,pdf
baliskat,adj.,upside down,Neutral,pdf+web
ballena,n.,whale,Neutral,pdf+web
balsa,n.,raft,Neutral,pdf+web
balsamo,n,balm,Neutral,pdf+web
banco,"""chair",bank,Neutral,pdf
banda,,band,Neutral,pdf
bandido,,bandit,Neutral,pdf
bangka,,small boat,Neutral,pdf
banko,"""chair",bank,Neutral,pdf
barangay,,small district or village,Neutral,pdf
barato,"""cheap","inexpensive, affordable",Neutral,pdf
barbilla,,chin,Neutral,pdf
barco,"""boat",ship,Neutral,pdf
barkada,,friend or friends,Neutral,pdf
barko,"""boat",ship,Neutral,pdf
barreta,,bar,Neutral,pdf
barriga,"""abdomen","belly, stomach",Neutral,pdf
barrio,,small district or village,Neutral,pdf
base,,base,Neutral,pdf
basia,,to pour,Neutral,pdf
basiada,"""flow",stream,Neutral,pdf
basin,"""toilet bowl",lavatory bowl,Neutral,pdf
basketbol,,basketball,Neutral,pdf
baso,,water glass,Neutral,pdf
basta,"""enough","just, as long as",Neutral,pdf
basta!,,stop!,Neutral,pdf
baston,,walking stick,Neutral,pdf
basura,"""garbage","waste, rubbish",Frustration,pdf
bata,"""child","kid, baby",Neutral,pdf
batallon,"""battalion",large organized group,Satisfaction,pdf
batallón,n,battalion,Neutral,pdf
batea,"""basin","wash basin, dishpan",Neutral,pdf
batuta,,policemanâs or security guardâs stick,Neutral,pdf
bautisa,,to baptize,Neutral,pdf
bautisao,,baptized,Neutral,pdf
bautismo,,baptism,Neutral,pdf
bautista,,baptist,Neutral,pdf
bella,,beauty,Neutral,pdf
belleza,,beauty,Neutral,pdf
bendici,,to bless,Neutral,pdf
bendicido,,blessed,Neutral,pdf
bendicion,,blessing,Gratitude,pdf
beneficio,,benefit,Neutral,pdf
besa,,to kiss,Neutral,pdf
beso,,kiss,Neutral,pdf
bicicleta,,bicycle,Neutral,pdf
bien,"""very","so, really",Neutral,pdf
bien alboroto man gayod kamo. de alla alla siguro kamo.,,you are very noisy. you probably live in a very far place.,Neutral,pdf
bien balimbing gayot diamond barrio capitan,,our barangay captain is a turncoat person,Neutral,pdf
bien caliente boca man gayod vos! ya perde ya lng yo na puestahan.,,you really have a hot mouth! (look) i lost in betting.,Neutral,pdf
bien guapo gayod yo.,,i am so handsome.,Neutral,pdf
bien seco gayod yo ahora,,i have really nothing now.,Neutral,pdf
bien utuk bulinao man gayod bo!,,you really have a narrow mind.,Neutral,pdf
bienvenido,,welcome (single person),Neutral,pdf
bienvenidos,,welcome (multiple person),Neutral,pdf
biernes,,friday,Neutral,pdf
bijuco,,a thin stick,Neutral,pdf
bijuquia,,to hit or spank using a thin stick,Neutral,pdf
bilog,,piece,Neutral,pdf
bilug,,piece,Neutral,pdf
bira,,to return or come back,Neutral,pdf
birada,"""curving",return,Neutral,pdf
bizcocho,,toasted bread or biscuit,Neutral,pdf
blanco,,white,Neutral,pdf
blusa,,blouse,Neutral,pdf
bo,,you (very informal),Neutral,pdf
bobocha,"""to knock down","to punch, to hit",Neutral,pdf
bobochao,"""knocked down",bruised,Neutral,pdf
boca,,mouth,Neutral,pdf
bodega,,storage of product or things,Neutral,pdf
bola,,ball,Neutral,pdf
bola-bola,,used to express disbelief,Neutral,pdf
bola-bola!,,talk to your egg.,Neutral,pdf
bolpen,"""pen",ballpen,Neutral,pdf
bombia,"""to punch",to hit using a fist,Neutral,pdf
bonita,,beautiful (feminine),Neutral,pdf
bonito,"""handsome (masculine)",beautiful (things or animals),Neutral,pdf
bora,"""to erase",to remove,Neutral,pdf
boring,,boredom,Neutral,pdf
borrachon,"""drunken",a person who is habitually or frequently drunk,Neutral,pdf
bos,,you (very informal),Neutral,pdf
botella,,bottle,Neutral,pdf
brazo,,arm,Neutral,pdf
brilla,"""to shine","to spark, to glow",Neutral,pdf
brillante,"""shiny","glowing, brilliant, sparkly, glossy",Neutral,pdf
brinca,,to jump,Neutral,pdf
broma,,joke,Neutral,pdf
bronze,"""bronze",copper wire,Neutral,pdf
bubuyug,,bee,Neutral,pdf
buen,,good,Neutral,pdf
buen apetito,,have a nice meal,Neutral,pdf
buen aprovecho,,have a nice meal,Neutral,pdf
buena suerte,,good luck!,Neutral,pdf
buenas,"""lucky","fortunate, blessed",Gratitude,pdf
buenas dias,,good morning,Neutral,pdf
buenas noches,,good evening,Neutral,pdf
buenas tardes,,goot afternoon,Neutral,pdf
bueno,,good,Neutral,pdf
bueno gracias,,i'm good thank you,Gratitude,pdf
bueno man,"gracias. y tu?""",reply to 'how are you?' (informal),Neutral,pdf
buga,,to drive (an animal or insect) away,Neutral,pdf
bukug,,bone,Neutral,pdf
bula,,bubble,Neutral,pdf
bulador,,kite,Neutral,pdf
bulao,,lost in mind or out of oneâs mind,Neutral,pdf
bulao man gayod este si juan. pensa'y pensa con el novia.,,juan is out of his mind. he always thinks of his girlfriend.,Neutral,pdf
bulinao,,a very small variety of fish,Neutral,pdf
buling,,dirt,Neutral,pdf
buncao,"""destroyed","devastated, torn down, wrecked, demolished, ruined",Neutral,pdf
bungul,,deaf,Neutral,pdf
bungul man gayod vo! saca daw quel oh!,,youâre so deaf! get that one!,Neutral,pdf
busca,"""to find","to search, to seek",Neutral,pdf
busca cen,"""to find ways to earn money","to earn for a living, to work",Neutral,pdf
busca la vida/la vida,"""to earn for a living",to work,Neutral,pdf
buta,,to throw,Neutral,pdf
buukan,,a place filled with trees,Neutral,pdf
bálsamo,n.,balm,Neutral,pdf
caballas,n.,mackerel,Neutral,pdf+web
caballero,n.,gentleman,Neutral,pdf+web
