word,type,replacement,emotion,source
fidelidad,"""fidelity",loyalty,Neutral,pdf
fiel,adj.,loyal,Gratitude,pdf+web
fiesta,n.,feast,Neutral,pdf+web
figura,n.,figure,Neutral,pdf+web
fija,v.,to stare,Neutral,pdf+web
fijo,adj.,fixed,Neutral,pdf
filo,n.,blade edge,Neutral,pdf
filosofo,,philosopher,Neutral,pdf
fin,adj.,last,Neutral,pdf+web
final,adj.,final,Neutral,pdf
finaliza,v.,to finalize,Neutral,pdf+web
finalmente,adv.,finally,Neutral,pdf
financial,n.,financial,Neutral,pdf
fino,"""refined","fine, subtle, thin, sharp",Neutral,pdf
firma,,signature,Neutral,pdf
firmi,"""always","each time, constantly, continually, continuously",Neutral,pdf
fisico,,physical,Neutral,pdf
flaca,,thin (feminine),Neutral,pdf
flauta,,flute,Neutral,pdf
flores,"""flower",flowers,Neutral,pdf
forma,,form,Neutral,pdf
forza,,to force,Neutral,pdf
foto,"""photo",picture,Neutral,pdf
fotografia,,photography,Neutral,pdf
fractura,,fracture,Concern,pdf
franca,"""frank","direct, straightforward",Neutral,pdf
freno,,brake,Neutral,pdf
frente,,forehead,Neutral,pdf
fresco,,fresh,Neutral,pdf
fri,,to fry,Neutral,pdf
friholes,"""green beans","snake beans, long beans",Neutral,pdf
frijoles,"""green beans","snake beans, long beans",Neutral,pdf
frio,,cold,Neutral,pdf
frito,,fried,Neutral,pdf
frontera,"""border",boundary,Neutral,pdf
fruta,,fruit,Neutral,pdf
frutas,,fruits,Neutral,pdf
fuego,,fire,Urgency,pdf
fuego!,,fire!,Urgency,pdf
fuente,,bridge,Neutral,pdf
fuera,,aside from,Neutral,pdf
fuerte,"""strong","fast, powerful, forceful, intense",Neutral,pdf
fuerza,"""power","might, mightiness, force",Neutral,pdf
fuma,,to smoke a cigarette,Neutral,pdf
fumador,,smoker,Neutral,pdf
fundacion,,foundation,Neutral,pdf
futuro,,future,Neutral,pdf
fácil,adj.,easy,Neutral,pdf
fértil,adj,fertile,Neutral,pdf
gabah,n.,karma,Neutral,pdf+web
gafas,,cotton,Neutral,pdf
gagamba,n.,spider,Neutral,pdf+web
gagerias,n.,stupidities,Neutral,pdf
gago,adj.,dull/dumb,Neutral,pdf+web
gaha,"""perhaps","maybe, might, possibly",Neutral,pdf
gaja,"""perhaps","maybe, might, possibly",Neutral,pdf
gajo,n.,node division,Neutral,pdf
galamay,n.,tentacle,Neutral,pdf+web
galante,adj.,gallant,Neutral,pdf
galapakan,n.,noises,Neutral,pdf
galapung,n.,ground rice,Neutral,pdf
gale,,expression of surpise or confirmation (as in âikaw pala...),Neutral,pdf
galería,n.,gallery,Neutral,pdf
gallena,,hen,Neutral,pdf
gallera,n.,cockpit,Neutral,pdf+web
gallina,n.,hen,Neutral,pdf+web
gallinero,n.,poultry house,Neutral,pdf+web
gallo,n.,rooster,Neutral,pdf+web
galon,n,gallon,Neutral,pdf+web
galón,n.,gallon,Neutral,pdf
gambas,"""shrimp",prawn,Neutral,pdf
gana,n.,appetite,Neutral,pdf+web
gana ya kita. claro ya el basilan.,,i can already see that we will win.,Satisfaction,pdf
ganador,"""winner",victor,Neutral,pdf
ganah,v.,to win,Satisfaction,pdf+web
ganancia,n.,profit,Neutral,pdf+web
gancho,n.,hook,Neutral,pdf+web
gane,,expression of surpise or confirmation (as in âikaw pala...),Neutral,pdf
ganga,n.,taunt,Neutral,pdf
ganguia,"""to tease","mock, ridicule, annoy",Frustration,pdf
ganguiador,"""mocker","teaser, annoyer",Neutral,pdf
ganso,n.,goose,Neutral,pdf
gapas,n.,cotton,Neutral,pdf
garahe,,garaje,Neutral,pdf
garaje,n.,garage,Neutral,pdf+web
garamusa,adj.,disorder,Neutral,pdf
garantia,n,guaranty,Neutral,pdf+web
garantía,n.,guaranty,Neutral,pdf
garganta,n.,throat,Neutral,pdf+web
gargarea,v.,to gargle,Neutral,pdf+web
garrafón,n.,glass jar,Neutral,pdf
garrapata,n.,tick,Neutral,pdf
garrote,n.,big club,Neutral,pdf
garrotia,v.,to clobber,Neutral,pdf
garrutia,"""to strike using a stick","belt, etc",Neutral,pdf
garrutiao,,struck,Neutral,pdf
gas,n.,gas,Neutral,pdf+web
gasgas,adj.,scraped,Neutral,pdf
gasolina,n.,gasoline,Neutral,pdf+web
gasolinahan,,gasoline station,Neutral,pdf
gasta,v.,to spend,Neutral,pdf+web
gastador,adj.,spendthrift,Neutral,pdf
gastao,"""used",well-used,Neutral,pdf
gasto,n.,expense,Neutral,pdf+web
gastoso,adj.,expensive,Neutral,pdf
gata,"""milk or extract of a fruit","tree, leaf, etc",Neutral,pdf
gata de coco,n.,coco milk,Neutral,pdf
gatito,n.,kitten,Neutral,pdf
gato,n.,cat,Neutral,pdf+web
gatorgalla,n.,wild cat,Neutral,pdf
gatung,v.,to start fire,Urgency,pdf
gaturan,adj.,intrepid,Neutral,pdf
gavilán,n.,hawk,Neutral,pdf
gayod,"""very",really,Neutral,pdf
gayot,adv.,emphasis word,Neutral,pdf
generacion,,generation,Neutral,pdf
generación,n.,generation,Neutral,pdf
general,n.,general,Neutral,pdf
generalmente,,generally,Neutral,pdf
generation,n,generation,Neutral,pdf+web
genero,,gender,Neutral,pdf
generoso,adj.,generous,Neutral,pdf+web
gente,"""human","person, man, people",Neutral,pdf
genuino,,genuine,Neutral,pdf
gigante,"""giant","gigantic, huge",Neutral,pdf
ginebra,,gin,Neutral,pdf
gitara,,guitar,Neutral,pdf
globo,,globe,Neutral,pdf
golpe,"""punch","strike, blow, impact, shot",Neutral,pdf
goma,,rubber,Neutral,pdf
gordo,,fat,Neutral,pdf
gordura,"""fat",fats,Neutral,pdf
govierno,,government,Neutral,pdf
graba,,debris or broken pieces of concrete,Distress,pdf
gracias,,thank you,Gratitude,pdf
grado,,grade,Neutral,pdf
gradua,,to graduate,Neutral,pdf
gramatica,,grammar,Neutral,pdf
gran,"""great",big,Neutral,pdf
grande,"""great",big,Neutral,pdf
grande tai,,a rich or influential person,Neutral,pdf
grande tai daw aquel quien ya muri alla oh,"""accordingly",that man who passed away is influential/rich.,Neutral,pdf
grandor,"""size","largeness, greatness",Neutral,pdf
grano,,grain,Neutral,pdf
grasa,,grease,Neutral,pdf
gratifica,,to gratify,Neutral,pdf
grita,"""to shout","scream, yell",Neutral,pdf
grito,"""shout","scream, exclamation, yell, cry",Neutral,pdf
grueso,,thick,Neutral,pdf
grueso cara,"""shameless",without shame,Neutral,pdf
grupo,,group,Neutral,pdf
guapo,,handsome,Neutral,pdf
guardia,"""guard",security guard,Neutral,pdf
guerra,"""war","siege, battle",Neutral,pdf
guerrero,"""warrior",fighter,Neutral,pdf
guiador,,one who guides,Neutral,pdf
guiao,,guided,Neutral,pdf
guinda,,to reach to a destination,Neutral,pdf
guitarra,,guitar,Neutral,pdf
gulud,,ridge,Neutral,pdf
gumita,,to vomit,Neutral,pdf
gumitorio,,noun,Neutral,pdf
gusano,,worm,Neutral,pdf
gusto,"""like","wish, desire",Neutral,pdf
guã­a,,guide,Neutral,pdf
habagat,n.,monsoon,Neutral,pdf+web
habilidad,n.,ability,Neutral,pdf+web
habla,v.,to tell/speak,Neutral,pdf+web
habla ba tu chabacano?,,do you speak chabacano? (informal),Neutral,pdf
habla evos chabacano?,,do you speak chabacano? (informal),Neutral,pdf
habla usted chabacano?,,do you speak chabacano? (formal),Neutral,pdf
habla ya el verdad. no mas ya lava mano.,,just tell the truth. stop washing your hands.,Neutral,pdf
hablada,,the way it is said,Neutral,pdf
habon,,soap,Neutral,pdf
habug,v.,to cultivate,Neutral,pdf
hacag,n.,sidecut,Neutral,pdf
hace,v.,to build/make,Neutral,pdf+web
hace amigo,v.,befriend,Neutral,pdf+web
hace claro. bien ma eche gayod tu.,,make it clear. you are not straightforward.,Neutral,pdf
hace mucho tiempo no hay mira yo contigo,,long time no see,Neutral,pdf
hacha,n.,axe,Neutral,pdf+web
hagtuh,v.,to yank,Neutral,pdf
hala,"""to pull",tug,Neutral,pdf
haluga,adj.,loose,Neutral,pdf+web
halus,adj.,stomach feeling,Neutral,pdf
hambre,n.,hunger,Neutral,pdf+web
hambriento,adj.,greedy,Neutral,pdf
hambug,n.,to show off,Neutral,pdf
hambugeria,n.,bluster,Neutral,pdf
hambugero,n.,braggart,Neutral,pdf+web
hambuguero,,boastful,Neutral,pdf
hampas,v.,to swipe,Neutral,pdf+web
hampul,n.,herb poultice,Neutral,pdf
hamug,n.,dew,Neutral,pdf
handah,v.,to feint,Neutral,pdf
hanggul,adj.,excited,Neutral,pdf
hapu,n.,asthma,Neutral,pdf
haragan,adj.,greedy,Neutral,pdf
harana,n.,serenade,Neutral,pdf
haranista,n.,serenader,Neutral,pdf
haray,adj.,overhanging,Neutral,pdf
harina,n.,flour,Neutral,pdf+web
harta,v.,to satiate,Neutral,pdf
hartao,"""surfeited",fed up too much,Neutral,pdf
hasta,prep.,up to,Neutral,pdf+web
hasta cuando,adv.,forever,Neutral,pdf
hasta la vista,,goodbye,Neutral,pdf
hasta que,conj.,until,Neutral,pdf
hasta siempre,adv.,ever,Neutral,pdf
hatud,v.,to escort,Neutral,pdf
hay,adv.,there is,Neutral,pdf
hay vene ya yo,,goodbye (i'll return already),Neutral,pdf
hayaan,n.,wailing,Neutral,pdf
hayah,v.,to wail,Neutral,pdf
hayang,adj.,lie on back,Neutral,pdf
hecho,adj.,done,Satisfaction,pdf+web
hecho de hierro,adj.,made of iron,Neutral,pdf
hecho de mano,adj.,hand-made,Neutral,pdf
hechura,adj.,appearance,Neutral,pdf
hediondo,adj.,smelly,Neutral,pdf+web
hedor,adj.,stink,Neutral,pdf
hefe,,chief,Neutral,pdf
helado,,ice cream,Neutral,pdf
hemorage,n.,hemorrhage,Neutral,pdf
hende,adv.,not,Neutral,pdf+web
heredero,"""heir",inheritor,Neutral,pdf
herencia,"""heredity","heritage, inheritance, legacy",Neutral,pdf
heri,"""to hurt","to injure, to smite",Neutral,pdf
herida,"""wound","injury, hurt",Distress,pdf
herido,"""wounded","injured, hurt",Urgency,pdf
hermana,,sister,Neutral,pdf
hermano,,brother,Neutral,pdf
hermosa,,beautiful,Neutral,pdf
heroe,,hero,Neutral,pdf
hierro,"""metal",iron,Neutral,pdf
higado,,liver,Neutral,pdf
hija,,young lady,Neutral,pdf
hijo,,young man,Neutral,pdf
hila,"""to pull",tug,Neutral,pdf
hinay,"""slow",weak,Neutral,pdf
hinay-hinay,,slowly,Neutral,pdf
hinca,,to kneel,Neutral,pdf
hinde,"""no",not,Neutral,pdf
hinde gane aquel ele invitado pero talla na cumpleaã±o de juan. grueso man aquel el cara.,,he/she is not invited at the birthday party of juan. his/her face is thick.,Neutral,pdf
hipocrito,,hypocrite,Neutral,pdf
hiri,"""to hurt","to injure, to smite",Neutral,pdf
hirida,"""wound","injury, hurt",Distress,pdf
hirido,"""wounded","injured, hurt",Urgency,pdf
hirvi,,to boil,Concern,pdf
hirvi sangre,,angry; used to tell that someone/something causes someone to be angry,Neutral,pdf
histerico,,hysterical,Neutral,pdf
historia,"""history",story,Neutral,pdf
hojas,"""leaf",leaves,Neutral,pdf
hola,"""hi",hello,Neutral,pdf
hombre,"""boy","male, man",Neutral,pdf
hombro,,shoulder,Neutral,pdf
hondo,,deep,Neutral,pdf
hondura,,depth,Neutral,pdf
honesto,,honest,Neutral,pdf
honor,,honor,Neutral,pdf
honra,,dignity,Neutral,pdf
honrado,,honored,Neutral,pdf
hospital,,hospital,Neutral,pdf
hotel,,hotel,Neutral,pdf
hoy,"""hey",hi (very informal),Neutral,pdf
hueso,,bone,Neutral,pdf
hui,"""to go away","run away, one who went with someone to settle down or get married",Neutral,pdf
humano,,human,Neutral,pdf
humilde,,humble,Neutral,pdf
humo,,smoke,Neutral,pdf
husto,"""enough","suitable, exact, fit",Neutral,pdf
hutik,,to whisper,Neutral,pdf
huya,,shyness,Neutral,pdf
huyain,,shy,Neutral,pdf
hígado,n,liver,Neutral,pdf
ibingan,n.,cobra,Neutral,pdf+web
ibit,n.,lizard,Neutral,pdf
icha,v.,to place,Neutral,pdf+web
ichura,"""appearance","look, figure",Neutral,pdf
iday vuelta,adv.,round trip,Neutral,pdf
idea,n.,idea,Neutral,pdf+web
ideal,adj.,ideal,Neutral,pdf+web
identidad,,identity,Neutral,pdf
identifica,v.,to identify,Neutral,pdf+web
identificacion,n,identification,Neutral,pdf+web
identificación,n.,identification,Neutral,pdf
ideologia,,ideology,Neutral,pdf
idioma,,idiom,Neutral,pdf
idiomatico,,idiomatic,Neutral,pdf
idiota,,idiot,Neutral,pdf
idolo,n.,idol,Neutral,pdf
iglesia,n.,church,Neutral,pdf+web
ignora,,to ignore,Frustration,pdf
ignorancia,,ignorance,Neutral,pdf
ignorante,adj.,ignorant,Neutral,pdf+web
igual,adj.,similar,Neutral,pdf+web
igualmente,"""alike","equally, likewise, evenly",Neutral,pdf
ika,,marker for ordinal number (third â ika-tres),Neutral,pdf
ilanun,n.,coconut fruit,Neutral,pdf
ilegal,adj.,illegal,Neutral,pdf+web
ilegitimo,adj.,illegitimate,Neutral,pdf
ilusion,,illusion,Neutral,pdf+web
ilusionao,"""illusory",illusive,Neutral,pdf
ilusión,n.,illusion,Neutral,pdf
imagen,n.,image,Neutral,pdf
imagina,v.,to imagine,Neutral,pdf+web
imaginacion,,imagination,Neutral,pdf
imaginación,n.,imagination,Neutral,pdf
imbudo,n.,funnel,Neutral,pdf
imita,v.,to imitate,Neutral,pdf
imitación,n.,imitation,Neutral,pdf
imoralidad,,immorality,Neutral,pdf
impaciencia,n.,impatience,Neutral,pdf
impaciente,n.,impatient,Neutral,pdf
imparta,,to impart,Neutral,pdf
imperativo,,imperative,Neutral,pdf
imperdible,n.,safety pin,Neutral,pdf
impertinente,adj.,impertinent,Neutral,pdf
implica,v.,to implicate,Neutral,pdf
impone,v.,to impose,Neutral,pdf
importa,v.,import,Neutral,pdf
importancia,n.,importance,Neutral,pdf
importante,adj.,important,Neutral,pdf+web
importao,n.,imported,Neutral,pdf
imposibilidad,,impossibility,Neutral,pdf
imposible,adj.,impossible,Neutral,pdf
imprenta,n.,printing press,Neutral,pdf
impresion,,impression,Neutral,pdf
impresiona,,to impress,Neutral,pdf
impresionao,,impressed,Neutral,pdf
impresión,n.,impression,Neutral,pdf
impresióna,v,impress,Neutral,pdf
impresiónao,adj,impressed,Neutral,pdf
improvisa,v.,to improvise,Neutral,pdf
impuesta,"""to impose",to tax,Neutral,pdf
impuesto,n.,tax,Neutral,pdf+web
impunidad,,impunity,Neutral,pdf
imut,v.,to make most of,Neutral,pdf
inanimado,adj.,lifeless,Neutral,pdf
incapaz,adj.,incapable,Neutral,pdf
incentivo,n.,incentive,Neutral,pdf
inchilao,adj.,vexed,Neutral,pdf
incidente,n.,incident,Neutral,pdf+web
incienso,n.,incense,Neutral,pdf
inclina,v.,to incline,Neutral,pdf
inclinación,adj.,slant,Neutral,pdf
inclinado,adj.,inclined,Neutral,pdf
inclinao,"""tilted","slant, leaned",Neutral,pdf
incluhido,,included,Neutral,pdf
inclui,,to include,Neutral,pdf
incluido,adj.,included,Neutral,pdf
inclujido,,included,Neutral,pdf
incluí,v.,to include,Neutral,pdf
increible,,incredible,Neutral,pdf
incrementa,,to increase,Neutral,pdf
indecision,,indicision,Neutral,pdf
indecisión,n,indicision,Neutral,pdf
indefinido,,indefinite,Neutral,pdf
independencia,,independence,Neutral,pdf
independente,,independent,Neutral,pdf
indica,,to indicate,Neutral,pdf
indicacion,,indication,Neutral,pdf
indicación,n,indication,Neutral,pdf
indicao,,indicated,Neutral,pdf
indicativo,,indicative,Neutral,pdf
infierno,,hell,Neutral,pdf
influencia,,influence,Neutral,pdf
influencial,,influential,Neutral,pdf
informacion,,information,Neutral,pdf
información,n,information,Neutral,pdf
informal,,informal,Neutral,pdf
ingeniero,,engineer,Neutral,pdf
ingles,,english,Neutral,pdf
ingrato,"""ingrate",ungrateful,Neutral,pdf
ingrediente,,ingredient,Neutral,pdf
inicia,,to initiate,Neutral,pdf
inicial,,initial,Neutral,pdf
injeccion,,injection,Neutral,pdf
inocencia,,innocence,Neutral,pdf
inocente,,innocent,Neutral,pdf
inodoro,,toilet,Neutral,pdf
inolvidable,,unforgettable,Neutral,pdf
inseguro,"""insecure",unsafe,Concern,pdf
insisti,,to insist,Neutral,pdf
inspeccion,,inspection,Neutral,pdf
inspección,n,inspection,Neutral,pdf
inspecta,,to inspect,Neutral,pdf
inspira,,to inspire,Neutral,pdf
inspiracion,,inspiration,Neutral,pdf
instante,,instant,Neutral,pdf
instinto,,instinct,Neutral,pdf
instruccion,,instruction,Neutral,pdf
insulta,,to insult,Neutral,pdf
insulto,,insulting,Neutral,pdf
inteligente,,intelligent,Neutral,pdf
intencion,,intention,Neutral,pdf
intensidad,,intensity,Neutral,pdf
interaccion,,interaction,Neutral,pdf
interes,,interest,Neutral,pdf
interesante,,interesting,Neutral,pdf
interesao,,interested,Neutral,pdf
internal,,internal,Neutral,pdf
interpreta,,to interpret,Neutral,pdf
interpretacion,,interpretation,Neutral,pdf
interpretación,n,interpretation,Neutral,pdf
interrogacion,,interrogation,Neutral,pdf
interrogación,n,interrogation,Neutral,pdf
interés,n,interest,Neutral,pdf
intestino,,intestine,Neutral,pdf
intierro,"""interment","entombment, funeral",Neutral,pdf
intriga,"""intrigue",issue,Neutral,pdf
introduccion,,introduction,Neutral,pdf
introduci,,to introduce,Neutral,pdf
inutil,"""useless","needless, pointless, unserviceable, unprofitable, wasted, idle",Neutral,pdf
inventa,,to invent,Neutral,pdf
invento,,invention,Neutral,pdf
inventor,,inventor,Neutral,pdf
inveta,,to invite,Neutral,pdf
invidia,,to envy,Neutral,pdf
invierna,"""angry","enraged, furious",Neutral,pdf
invierno,"""angry","enraged, furious",Neutral,pdf
invisti,"""to retaliate","to fight back, to repay, to revenge",Urgency,pdf
invita,,to invite,Neutral,pdf
invitacion,,invitation,Neutral,pdf
invitación,n,invitation,Neutral,pdf
invitao,,invited,Neutral,pdf
involve,"""to wrapped",to cover,Neutral,pdf
inútil,adj,"useless, needless, pointless, unserviceable",Frustration,pdf
iri,"""to hurt","to injure, to smite",Neutral,pdf
irida,"""wound","injury, hurt",Distress,pdf
irido,"""wounded","injured, hurt",Urgency,pdf
irido yo,,i am injured,Urgency,pdf
irritable,,irritable,Neutral,pdf
irritao,,irritated,Neutral,pdf
isla,,island,Neutral,pdf
isquierda,,left,Neutral,pdf
istambay,,to bystand,Neutral,pdf
istoria,,story,Neutral,pdf
izquierda,,left,Neutral,pdf
jabon,,soap,Neutral,pdf+web
jabonera,n.,soap dish,Neutral,pdf+web
jabón,n.,soap,Neutral,pdf
jack,n.,car jack,Neutral,pdf
jala,v.,to pull,Neutral,pdf+web
jalay,v.,to hang up,Neutral,pdf
jalea,n.,jelly,Neutral,pdf+web
jalo,n.,pestle,Neutral,pdf
jamaca,n.,hammock,Neutral,pdf
jamón,n.,ham,Neutral,pdf
janitor,n.,janitor,Neutral,pdf
japones,n.,Japanese,Neutral,pdf
jaqueca,n.,headache,Neutral,pdf
jaragan,"""greedy","hungry, thirsty, wanting to do or have something very much",Neutral,pdf
jardin,n.,garden,Neutral,pdf
jardinero,n.,gardener,Neutral,pdf
jaula,n.,cage,Neutral,pdf
jefe,n.,boss,Neutral,pdf+web
jendeh gayot bastante un idioma lang,,one language is never enough,Neutral,pdf
jendeh gayot bastante un lenguaje lang,,one language is never enough,Neutral,pdf
jendeh yo ta entende,,i don't understand,Neutral,pdf
jengibre,n.,ginger,Neutral,pdf+web
jeringa,n.,syringe,Neutral,pdf+web
jila,v.,to pull,Neutral,pdf
jilaw,adj.,raw,Neutral,pdf+web
jolen,n.,toy marbles,Neutral,pdf
jorgesa,n.,toy,Neutral,pdf
jornalero,n.,day laborer,Neutral,pdf
joven,adj.,young,Neutral,pdf+web
jovencito,n.,youngster,Neutral,pdf
juego,n.,games,Neutral,pdf+web
juego juego lang kita,"no hace arroz arroz el juego""",itâs just a game. donât take it seriously.,Neutral,pdf
juelga,n.,strike,Neutral,pdf
jueves,n.,Thursday,Neutral,pdf
juez,n.,judge,Neutral,pdf
juga,v.,to play,Neutral,pdf+web
juga kamo kanila? na lata lang kamo.,,are you going to play with them? you will not win.,Satisfaction,pdf
jugador,n.,gambler,Neutral,pdf+web
juguete,n.,toy,Neutral,pdf
juicio,n.,mind,Neutral,pdf+web
julio,n.,July,Neutral,pdf
junio,n.,June,Neutral,pdf
junto,adv.,together,Neutral,pdf
jura,v.,to swear,Neutral,pdf+web
jurada,,female judge,Neutral,pdf
jurado,,male judge,Neutral,pdf
juramentado,n.,amok,Neutral,pdf
juramento,n.,oath,Neutral,pdf
jus,,juice,Neutral,pdf
jusga,,to judge,Neutral,pdf
jusgada,,judgement,Neutral,pdf
jusgao,,judged,Neutral,pdf
justicia,n.,justice,Neutral,pdf+web
justifica,v.,to justify,Neutral,pdf
justo,adj.,just,Neutral,pdf
jutay,,small in size,Neutral,pdf
jutay se pescao,,that fish is very big.,Neutral,pdf
jutic,v.,to whisper,Neutral,pdf
juventud,n.,youth,Neutral,pdf
juzga,v.,to judge,Neutral,pdf+web
juzgado,n.,court,Neutral,pdf
juzgamiento,n.,judgment,Neutral,pdf
jóvenes,n.,youngsters,Neutral,pdf
kabar,"""afterwards","then, and then",Neutral,pdf
kabit,n.,concubine,Neutral,pdf+web
kabrito,,goat,Neutral,pdf
kabug,n.,big bat,Neutral,pdf
kaingin,n.,farm,Neutral,pdf
kakal,v.,to rap head,Neutral,pdf
kalaw,n.,hornbill,Neutral,pdf
kalawisik,adj.,scattered bits,Concern,pdf
kalayatan,adj.,scattered wide,Concern,pdf
kalor,"""warmth",heat,Neutral,pdf
kalye,"""road","way, street",Neutral,pdf
kalyente,"""hot",warm,Neutral,pdf
kamali,adj.,erroneous,Neutral,pdf+web
kamang,v.,to crawl,Neutral,pdf+web
kame,pro.,we,Neutral,pdf+web
kamo,,you (plural),Neutral,pdf
kanamon,,us (exclusive),Neutral,pdf
kanaton,pro.,with us,Neutral,pdf
kangnga,,bald,Neutral,pdf
kanila,pro.,with them,Neutral,pdf
kaninyo,,you (plural),Neutral,pdf
kanta,,to sing,Neutral,pdf
kanun,,cooked rice,Neutral,pdf
kanunuan,n.,ancestor,Neutral,pdf
kape,,coffee,Neutral,pdf
kapre,,a mythical and giant creature that smokes on a tree,Neutral,pdf
kasangkapan,n.,belonging,Neutral,pdf
keber,"""care",concern,Concern,pdf
kepet,,armpit,Neutral,pdf
kidlat,,lightning,Neutral,pdf
kilo,,kilo,Neutral,pdf
kilometro,,kilometer,Neutral,pdf
kita,,we (inclusive),Neutral,pdf
kubardon,"""coward",fearful,Neutral,pdf
kunambre,,hungry,Neutral,pdf
laba,"""to wash",to clean,Satisfaction,pdf
lababo,,wash-basin,Neutral,pdf
labada,,clothes to be washed,Neutral,pdf
labandera,"""a female person who washes clothes",someone who is hired to wash clothes,Neutral,pdf
labandero,"""a male person who washes clothes",someone who is hired to wash clothes,Neutral,pdf
labio,"""lip",lips,Neutral,pdf
labio bajo,n.,lower lip,Neutral,pdf+web
labion,n.,thick-lipped,Neutral,pdf
laboratorio,n.,laboratory,Neutral,pdf+web
labra,v.,to trim wood,Neutral,pdf
labrador,n.,worker,Neutral,pdf
labut,n.,concern,Concern,pdf
labuyo,n.,wild chicken,Neutral,pdf
labuyuin,,a person who always cuts class,Neutral,pdf
lacuacha,v.,to play hooky,Neutral,pdf
lado,n.,side,Neutral,pdf
ladra,n.,dog bark,Neutral,pdf+web
ladrada,n.,dog barking,Neutral,pdf
ladrillo,n.,brick,Neutral,pdf+web
ladron,"""thief","snatcher, robber, shoplifter",Neutral,pdf+web
ladronadas,n.,thievery,Neutral,pdf
ladrón,n.,robber,Neutral,pdf
laga,v.,to boil,Concern,pdf+web
lagag,adj.,greedy,Neutral,pdf
lagak,"""stingy","selfish, closefisted",Neutral,pdf
lagas,v.,to chase,Neutral,pdf
lagasan,n.,chase,Neutral,pdf
lago,n.,lake,Neutral,pdf+web
lagrima,n.,teardrop,Neutral,pdf+web
lagrimoso,adj.,tearful,Neutral,pdf
laguerta,n.,farm land,Neutral,pdf
laguit,adj.,skinny,Neutral,pdf
lagung,n.,big fly,Neutral,pdf
lahup,v.,to pre heat leaf,Neutral,pdf
lakang,n.,big stride,Neutral,pdf
lakas,n,strength,Neutral,pdf+web
lama,,to call,Neutral,pdf
laman,n.,flesh,Neutral,pdf
lambe,v.,to lick,Neutral,pdf
lampara,n.,lamp,Neutral,pdf+web
lampas,v.,to overtake,Neutral,pdf+web
lampasia,v.,to mop floor,Neutral,pdf
lampaso,n.,mop,Neutral,pdf
lampin,n.,diaper,Neutral,pdf
lampus,v.,to throw down,Neutral,pdf
lamuk,n.,mosquito,Neutral,pdf+web
lana,n.,wool,Neutral,pdf
lancea,v.,to stab,Neutral,pdf+web
lanceada,n.,stab wound,Urgency,pdf
lancha,n.,motor launch,Neutral,pdf+web
landug,v.,to slip,Neutral,pdf
landuk,"""to slip",to slide,Neutral,pdf
langkay,n.,dried leaves,Neutral,pdf
langosta,n.,locust,Neutral,pdf
lanote,n.,abaca fiber,Neutral,pdf
lansa,adj.,fish smell,Concern,pdf
lanza,n.,lance,Neutral,pdf+web
lao,adj.,side of,Neutral,pdf
lao derecha,n.,right side,Neutral,pdf
lapida,n.,gravestone,Neutral,pdf+web
lapinig,n.,gnat,Neutral,pdf
lapis,n.,pencil,Neutral,pdf+web
larga,"""to release","to set free, to move, to depart",Neutral,pdf
larga palabra,"""a promise","a curse, say something bad",Neutral,pdf
largo,,long,Neutral,pdf
lastima,,mercy,Neutral,pdf
lastimoso,,merciful,Neutral,pdf
lata,"""tin can","tin, can",Neutral,pdf
latiga,"""to whip",to hit a person or animal with a whip or something like a whip,Neutral,pdf
lava,"""to wash",to clean,Satisfaction,pdf
lava mano,,does not want to accept responsibility or does not want to admit the fault.,Neutral,pdf
lavabo,,wash-basin,Neutral,pdf
lavada,,clothes to be washed,Neutral,pdf
lavandera,"""a female person who washes clothes",someone who is hired to wash clothes,Neutral,pdf
lavandero,"""a male person who washes clothes",someone who is hired to wash clothes,Neutral,pdf
laway,,saliva,Neutral,pdf
layung,"""shriveled","withered, wrinkled",Neutral,pdf
le,,to read,Neutral,pdf
leable,,readable,Neutral,pdf
lebanta,"""to stand up","to rise, to raise up, to put up, to establish, to build",Neutral,pdf
lebantao,,stood up,Neutral,pdf
leccion,"""lesson",topic,Neutral,pdf
leche,,milk,Neutral,pdf
lechon,,roasted,Neutral,pdf
lechuga,,lettuce,Neutral,pdf
lectura,,lecture,Neutral,pdf
lehos,,far,Neutral,pdf
lejos,,far,Neutral,pdf
lengua,,tongue,Neutral,pdf
lenguaje,,language,Neutral,pdf
lente,"""lens",eyeglass,Neutral,pdf
leproso,,leprosy,Neutral,pdf
letra,,letter or character (of alphabet),Neutral,pdf
letrata,"""to take a picture",to capture,Neutral,pdf
letratista,,photographer,Neutral,pdf
letrato,"""picture",photo,Neutral,pdf
levanta,"""to stand up","to rise, to raise up, to put up, to establish, to build",Neutral,pdf
ley,,law,Neutral,pdf
libra,"""free","set free, unchain",Neutral,pdf
librao,,freed,Neutral,pdf
libre daw conmigo,,(you) treat me,Neutral,pdf
libre tamen alli. cencillo lang se contigo.,,you also treat us. itâs just nothing to you.,Neutral,pdf
libro,,book,Neutral,pdf
librá,v,"free, set free, unchain",Neutral,pdf
libráo,adj,freed,Neutral,pdf
lider,,leader,Neutral,pdf
liga,,league,Neutral,pdf
ligal,,legal,Neutral,pdf
ligid,"""to lie on the ground","to pull something or something on the ground, to roll on the ground",Neutral,pdf
liha,,rub something against a surface or sandpaper,Neutral,pdf
lihero,"""fast","quick, rapid",Neutral,pdf
