Tausug,Part of Speech,English Translation
ma-sagsag	"(for something) to break off, as branches from a tree after a strong wind [42c41220e8e2f80cfe850ed4ff182f11]"	show set
sabit	"for something to hook, catch, or snag on something else [c7434eafc268bda775eada7f650cce6c]"	show set
mag-daplis	"for something to scrape, scratch, or graze something else in passing [46a3912a09f13300022d59f4c1f159ce]"	show set
mag-suba?	(for the moon) to rise [1b173ad2a8285795d4608cd4be444c53]	show set
suba?	(for the moon) to rise [1b173ad2a8285795d4608cd4be444c53]	show set
gila	"frantic with delight, wildly excited, delirious, enthusiastic (usually with sexual connotation) [7ce0463bcc3bc6da0239deb27c503e78]"	show set
puas	free (from some obligation) [76e295d12667b9e14e629d6507c2f93d]	show set
unah-an	front; forward [bfcd56c67c85936d7e47c48d1bc06250]	show set
una	go ahead or before [e5f16b5dc3443448e26af61ad3ec22b9]	show set
sigi-sigi	"going on in rapid succession, happening over and over again, repeated often, continually [4c6523b9580162dd07522f777c5fa9f5]"	show set
para?	grass [09d440e487d45777c05c3a6552ad9154]	show set
sa?lag	grated cassava roasted in a pan [b625c5f59c311aaa3ad196d716787e15]	show set
uban	gray hair on an older person [a9ad5453815acb9a6880fe11bd00519a]	show set
ma-?apkap	grope for a woman in the dark (for illicit sexual intercourse) [e5b8c2d52f410098dae4d02092698cf0]	show set
ka-para?-an	"ground covered with grass, pastureland [0ec37517ba71522db4348c2818990070]"	show set
tu?a?	half [7afe399f1415b137d0962f82662fa9d4]	show set
tukul	hammer [5f9901fc60b769b523d0dd8e79b3fe08]	show set
pusas	handcuffs [ffef070e6c7525e1c9bebadcc0033b46]	show set
li-li?ug-an	having a collar (as a dress) [124bb6f92c35ab252ed4a79c553d1c46]	show set
pukul	"having an amputated leg, arm, finger, or toe [95c20fa5c069037d3adc6fb8791690af]"	show set
kukuh-an	having long fingernails or toenails [7538544b4283fa307dc5b1cc1832aba7]	show set
ma-rukut	"having or producing a heavy mark, dark shade (as of pencil, ballpen, color) [00df47d8c50842659bdedd9c800f0f6b]"	show set
pi?kit	having six (or more) fingers on one hand [e7088569d5cf410febd1e70b0c18cdef]	show set
?	head [96e89a298e0a9f469b9ae458d6afae9f]	show set
pasu?	"heat, warmth, high temperature; anger, temper [458f3c21bd5c5c72ab6917e443fe377e]"	show set
pasu? atay	"hot temper, short temper [9540ecdc1d253237f2b0f7ea2600978c]"	show set
ma-pasu?	"hot, warm (weather, body temperature); unlucky (of a day or month; e.g. for planting) [3d5c375c56f59a1410a43187175d4dae]"	show set
pila	how much? how many? [77e1a2450cbff68a3f711f8c13a6ed32]	show set
apa pay	husk of rice [1f0e809084bc359017988eb1cb4a53ed]	show set
bahug-an	immerse cooked food in liquid [3bd4a4d451b4d8506f6303466c9b3e55]	show set
bahug	"immerse cooked food in liquid, as cooked rice in soup, gravy, milk or water [ba689d493e11cf191debbf47e1881fad]"	show set
manuk-un	"induce someone to fight with someone else, stir up, instigate [c907f2773c578710ec220f91d95151e0]"	show set
akkal	"intellect, intelligence, wisdom, ability [cfd79a808e3a7ac4767c30cba31ddb48]"	show set
puun-an	"invest money, have capital [99d2a20776eaa14a7d6a7c1b2dc23a87]"	show set
p??	island [3dbacfd76b0a040ccad1eacb20def4c8]	
